Indicator;Economic activity;Year;Number of Employees
Total employment (Domestic concept);D Electricity, gas, steam and air conditioning supply;2022;N/A
Total employment (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2022;N/A
Total employment (Domestic concept);F Construction;2022;62380.0
Total employment (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2022;270241.0
Total employment (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2022;232614.0
Total employment (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2022;N/A
Total employment (Domestic concept);H Transportation and storage;2022;N/A
Total employment (Domestic concept);I Accommodation and food service activities;2022;N/A
Total employment (Domestic concept);J Information and communication;2022;37627.0
Total employment (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2022;107358.0
Total employment (Domestic concept);K Financial and insurance activities;2022;16124.0
Total employment (Domestic concept);L Real estate activities;2022;21663.0
Total employment (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2022;69571.0
Total employment (Domestic concept);M Professional, scientific and technical activities;2022;N/A
Total employment (Domestic concept);N Administrative and support service activities;2022;N/A
Total employment (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2022;260421.0
Total employment (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2022;212371.0
Total employment (Domestic concept);O Public administration and defence, compulsory social security;2022;N/A
Total employment (Domestic concept);P Education;2022;N/A
Total employment (Domestic concept);Q Human health and social work activities;2022;N/A
Total employment (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2022;48050.0
Total employment (Domestic concept);R Arts, entertainment and recreation;2022;N/A
Total employment (Domestic concept);S Other service activities;2022;N/A
Total employment (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2022;N/A
Employees (Domestic concept);TOTAL TOTAL;2022;782268.0
Employees (Domestic concept);A Agriculture, forestry and fishing;2022;36658.0
Employees (Domestic concept);B_C_D_E Industry - total;2022;127538.0
Employees (Domestic concept);B Mining and quarrying;2022;N/A
Employees (Domestic concept);C Manufacturing;2022;108332.0
Employees (Domestic concept);D Electricity, gas, steam and air conditioning supply;2022;N/A
Employees (Domestic concept);E Water supply, sewerage, waste management and remediation activities;2022;N/A
Employees (Domestic concept);F Construction;2022;51920.0
Employees (Domestic concept);G_H_I_J Wholesale and retail trade, repair of motor vehicles and motorcycles, transportation and storage, accommodation and food service activities, information and communication;2022;245966.0
Employees (Domestic concept);G_H_I Wholesale and retail trade, repair of motor vehicles and motorcycles, Transportation and storage, Accommodation and food service activities;2022;212003.0
Employees (Domestic concept);G Wholesale and retail trade, repair of motor vehicles and motorcycles;2022;N/A
Employees (Domestic concept);H Transportation and storage;2022;N/A
Employees (Domestic concept);I Accommodation and food service activities;2022;N/A
Employees (Domestic concept);J Information and communication;2022;33963.0
Employees (Domestic concept);K_L_M_N Financial and insurance activities, real estate activitiesprofessional, scientific and technical activities, administrative and support service activities;2022;91114.0
Employees (Domestic concept);K Financial and insurance activities;2022;15348.0
Employees (Domestic concept);L Real estate activities;2022;18163.0
Employees (Domestic concept);M_N Professional, scientific and technical activities, Administrative and support service activities;2022;57603.0
Employees (Domestic concept);M Professional, scientific and technical activities;2022;N/A
Employees (Domestic concept);N Administrative and support service activities;2022;N/A
Employees (Domestic concept);O-T Public administration and defence, compulsory social security, education, human health and social work activities, arts, entertainment and recreation, other service activities, activities of households as employers;2022;229073.0
Employees (Domestic concept);O_P_Q Public administration and defence, compulsory social security, Education, Human health and social work activities;2022;204466.0
Employees (Domestic concept);O Public administration and defence, compulsory social security;2022;N/A
Employees (Domestic concept);P Education;2022;N/A
Employees (Domestic concept);Q Human health and social work activities;2022;N/A
Employees (Domestic concept);R_S_T Arts, entertainment and recreation, Other service activities, Activities of households as employers;2022;24606.0
Employees (Domestic concept);R Arts, entertainment and recreation;2022;N/A
Employees (Domestic concept);S Other service activities;2022;N/A
Employees (Domestic concept);T Activities of households as employers, undifferentiated goods- and services-producing activities of households for own use;2022;N/A
Self-employed (Domestic concept);TOTAL TOTAL;2022;123800.0
Self-employed (Domestic concept);A Agriculture, forestry and fishing;2022;33340.0
Self-employed (Domestic concept);B_C_D_E Industry - total;2022;8132.0
